Statistical profiling result from /Users/darksystem/Projects/FlowJS/isolate-0x7fc5ebb00000-5558-v8.log, (19393 ticks, 18300 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.1%          /Users/darksystem/.local/share/nvm/v20.15.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      5    1.2%        JS: ~<anonymous> node:internal/http2/compat:1:1
      5  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      5  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
     13    3.0%      JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      7   53.8%        JS: ~loadBuiltinModule node:internal/modules/helpers:96:27
      7  100.0%          JS: ~builtinStrategy node:internal/modules/esm/translators:440:52
      7  100.0%            JS: ^callTranslator node:internal/modules/esm/loader:265:28
      6   46.2%        JS: ^loadBuiltinModule node:internal/modules/helpers:96:27
      6  100.0%          JS: ^builtinStrategy node:internal/modules/esm/translators:440:52
      6  100.0%            JS: ^callTranslator node:internal/modules/esm/loader:265:28
    404    2.2%    JS: ~<anonymous> /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/index.js:1:1
    404  100.0%      JS: ^Module._compile node:internal/modules/cjs/loader:1311:37
    404  100.0%        JS: ^Module._extensions..js node:internal/modules/cjs/loader:1370:37
    404  100.0%          JS: ^Module.load node:internal/modules/cjs/loader:1195:33
    404  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:951:24
    389    2.1%    JS: ^createCanvas /Users/darksystem/Projects/FlowJS/node_modules/canvas/index.js:14:23
    322   82.8%      JS: ^createImageBitmap file:///Users/darksystem/Projects/FlowJS/src/utils.js:6:34
    221   68.6%        JS: *_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
    221  100.0%          JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    221  100.0%            JS: ^processImmediate node:internal/timers:433:28
     99   30.7%        JS: ^_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
     94   94.9%          JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
     94  100.0%            JS: ^processImmediate node:internal/timers:433:28
      5    5.1%          JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
      4   80.0%            JS: ^processImmediate node:internal/timers:433:28
      1   20.0%            JS: ~processImmediate node:internal/timers:433:28
     64   16.5%      JS: ^_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
     61   95.3%        JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
     61  100.0%          JS: ^processImmediate node:internal/timers:433:28
      3    4.7%        JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
      2   66.7%          JS: ^processImmediate node:internal/timers:433:28
      1   33.3%          JS: ~processImmediate node:internal/timers:433:28
    296    1.6%    JS: ~Module._extensions..node node:internal/modules/cjs/loader:1446:39
    229   77.4%      JS: ~Module.load node:internal/modules/cjs/loader:1195:33
    229  100.0%        JS: ~Module._load node:internal/modules/cjs/loader:951:24
    229  100.0%          JS: ~Module.require node:internal/modules/cjs/loader:1225:36
    229  100.0%            JS: ~require node:internal/modules/helpers:177:31
     67   22.6%      JS: ^Module.load node:internal/modules/cjs/loader:1195:33
     67  100.0%        JS: ^Module._load node:internal/modules/cjs/loader:951:24
     67  100.0%          JS: ^Module.require node:internal/modules/cjs/loader:1225:36
     67  100.0%            JS: ^require node:internal/modules/helpers:177:31
    260    1.4%    JS: ~poll /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/events/index.js:393:14
    180   69.2%      JS: ~<anonymous> /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/events/index.js:1:1
    180  100.0%        JS: ^Module._compile node:internal/modules/cjs/loader:1311:37
    180  100.0%          JS: ^Module._extensions..js node:internal/modules/cjs/loader:1370:37
    180  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1195:33
     80   30.8%      JS: ~listOnTimeout node:internal/timers:519:25
     61   76.3%        JS: ~processTimers node:internal/timers:499:25
     19   23.8%        JS: ^processTimers node:internal/timers:499:25
    256    1.4%    JS: ^_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
    244   95.3%      JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    244  100.0%        JS: ^processImmediate node:internal/timers:433:28
     12    4.7%      JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
     11   91.7%        JS: ^processImmediate node:internal/timers:433:28
      1    8.3%        JS: ~processImmediate node:internal/timers:433:28
    217    1.2%    JS: ^poll /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/events/index.js:393:14
    126   58.1%      JS: ^getState /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/keyboard/index.js:26:11
     97   77.0%        JS: ^getPressedKeys file:///Users/darksystem/Projects/FlowJS/src/renderer.js:55:17
     71   73.2%          JS: ^_handleEvents file:///Users/darksystem/Projects/FlowJS/src/engine.js:337:16
     71  100.0%            JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
     16   16.5%          JS: ^<anonymous> file:///Users/darksystem/Projects/FlowJS/src/engine.js:350:44
     16  100.0%            Builtin: ArrayForEach
      9    9.3%          JS: ^<anonymous> file:///Users/darksystem/Projects/FlowJS/src/engine.js:355:40
      9  100.0%            Builtin: ArrayForEach
      1    1.0%          JS: ~<anonymous> file:///Users/darksystem/Projects/FlowJS/src/engine.js:350:44
      1  100.0%            Builtin: ArrayForEach
     28   22.2%        JS: ^keyPressed file:///Users/darksystem/Projects/FlowJS/src/renderer.js:60:13
     28  100.0%          JS: ^<anonymous> file:///Users/darksystem/Projects/FlowJS/src/engine.js:350:44
     28  100.0%            Builtin: ArrayForEach
     81   37.3%      JS: ^listOnTimeout node:internal/timers:519:25
     81  100.0%        JS: ^processTimers node:internal/timers:499:25
      9    4.1%      JS: ~getState /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/keyboard/index.js:26:11
      9  100.0%        JS: ~getPressedKeys file:///Users/darksystem/Projects/FlowJS/src/renderer.js:55:17
      9  100.0%          JS: ~_handleEvents file:///Users/darksystem/Projects/FlowJS/src/engine.js:337:16
      9  100.0%            JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    199    1.1%    JS: ~wrapSafe node:internal/modules/cjs/loader:1255:18
    176   88.4%      JS: ^Module._compile node:internal/modules/cjs/loader:1311:37
    165   93.8%        JS: ~Module._extensions..js node:internal/modules/cjs/loader:1370:37
    165  100.0%          JS: ^Module.load node:internal/modules/cjs/loader:1195:33
    165  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:951:24
     11    6.3%        JS: ^Module._extensions..js node:internal/modules/cjs/loader:1370:37
     11  100.0%          JS: ^Module.load node:internal/modules/cjs/loader:1195:33
     11  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:951:24
     23   11.6%      JS: ~Module._compile node:internal/modules/cjs/loader:1311:37
     23  100.0%        JS: ~Module._extensions..js node:internal/modules/cjs/loader:1370:37
     16   69.6%          JS: ~Module.load node:internal/modules/cjs/loader:1195:33
     16  100.0%            JS: ~Module._load node:internal/modules/cjs/loader:951:24
      7   30.4%          JS: ^Module.load node:internal/modules/cjs/loader:1195:33
      5   71.4%            JS: ^Module._load node:internal/modules/cjs/loader:951:24
      2   28.6%            JS: ~Module._load node:internal/modules/cjs/loader:951:24

    298    1.5%  Builtin: FlattenIntoArray
    298  100.0%    Builtin: ArrayPrototypeFlat
    298  100.0%      JS: ~processArr file:///Users/darksystem/Projects/FlowJS/src/utils.js:19:27
    298  100.0%        JS: ~_getData file:///Users/darksystem/Projects/FlowJS/src/texture.js:24:11
    274   91.9%          JS: ~draw file:///Users/darksystem/Projects/FlowJS/src/gfx.js:21:7
    264   96.4%            JS: ~fillScreen file:///Users/darksystem/Projects/FlowJS/src/gfx.js:94:13
     10    3.6%            JS: ~render file:///Users/darksystem/Projects/FlowJS/src/sprite.js:91:9
     24    8.1%          JS: ~setLayerBackground file:///Users/darksystem/Projects/FlowJS/src/gfx.js:122:21
     24  100.0%            JS: ~onCreate file:///Users/darksystem/Projects/FlowJS/test.js:25:17

