Statistical profiling result from /Users/darksystem/Projects/FlowJS/isolate-0x7fc5ebb00000-5558-v8.log, (19393 ticks, 18300 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.1%          /Users/darksystem/.local/share/nvm/v20.15.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Builtin: CreateShallowArrayLiteral
      2    0.0%    0.0%  Builtin: ConstructFunction
      2    0.0%    0.0%  Builtin: CallApiCallback
      2    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      2    0.0%    0.0%  Builtin: ArrayForEach
      2    0.0%    0.0%  Builtin: AddSmi_Baseline
      1    0.0%    0.0%  JS: ~setupDebugEnv node:internal/process/pre_execution:411:23
      1    0.0%    0.0%  JS: ~setVAOEmulated /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:5146:27
      1    0.0%    0.0%  JS: ~set node:internal/modules/esm/module_map:96:6
      1    0.0%    0.0%  JS: ~resolvePackageTarget node:internal/modules/esm/resolve:471:30
      1    0.0%    0.0%  JS: ~requestMemoryAllocation /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:1067:35
      1    0.0%    0.0%  JS: ~readFileHandle node:internal/fs/promises:510:30
      1    0.0%    0.0%  JS: ~percolateDown node:internal/priority_queue:45:16
      1    0.0%    0.0%  JS: ~onKeyPress file:///Users/darksystem/Projects/FlowJS/test.js:16:13
      1    0.0%    0.0%  JS: ~moduleStrategy node:internal/modules/esm/translators:165:56
      1    0.0%    0.0%  JS: ~listOnTimeout node:internal/timers:519:25
      1    0.0%    0.0%  JS: ~insert node:internal/timers:361:16
      1    0.0%    0.0%  JS: ~handleEvent /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/events/index.js:71:21
      1    0.0%    0.0%  JS: ~get node:fs:3268:8
      1    0.0%    0.0%  JS: ~draw :69:16
      1    0.0%    0.0%  JS: ~compile /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:6006:20
      1    0.0%    0.0%  JS: ~REGLCommand /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:10269:26
      1    0.0%    0.0%  JS: ~Module._compile node:internal/modules/cjs/loader:1311:37
      1    0.0%    0.0%  JS: ~<anonymous> file:///Users/darksystem/Projects/FlowJS/src/engine.js:300:12
      1    0.0%    0.0%  JS: ~<anonymous> /Users/darksystem/Projects/FlowJS/node_modules/pngjs/browser.js:14704:38
      1    0.0%    0.0%  JS: ~<anonymous> /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/sdl/src/javascript/events/events-via-poll.js:33:26
      1    0.0%    0.0%  JS: wasm-function[28]
      1    0.0%    0.0%  JS: wasm-function[19]
      1    0.0%    0.0%  JS: ^useProgram /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:3396:14
      1    0.0%    0.0%  JS: ^setTexInfo /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:3298:23
      1    0.0%    0.0%  JS: ^remove node:internal/linkedlist:16:16
      1    0.0%    0.0%  JS: ^processImmediate node:internal/timers:433:28
      1    0.0%    0.0%  JS: ^popAsyncContext node:internal/async_hooks:553:25
      1    0.0%    0.0%  JS: ^parseImage /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:2893:23
      1    0.0%    0.0%  JS: ^parseFlags /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:2747:23
      1    0.0%    0.0%  JS: ^mousePressed file:///Users/darksystem/Projects/FlowJS/src/renderer.js:65:15
      1    0.0%    0.0%  JS: ^isRectArray /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:2388:22
      1    0.0%    0.0%  JS: ^initAsyncResource node:internal/timers:155:27
      1    0.0%    0.0%  JS: ^emitAfterScript node:internal/async_hooks:517:25
      1    0.0%    0.0%  JS: ^draw :69:16
      1    0.0%    0.0%  JS: ^dirname node:path:1278:10
      1    0.0%    0.0%  JS: ^copyToImageData /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:999:46
      1    0.0%    0.0%  JS: ^convertPixels /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/utils.js:177:24
      1    0.0%    0.0%  JS: ^changeObject file:///Users/darksystem/Projects/FlowJS/src/engine.js:193:15
      1    0.0%    0.0%  JS: ^_verifyTextureCompleteness /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:813:30
      1    0.0%    0.0%  JS: ^_validTextureTarget /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:808:23
      1    0.0%    0.0%  JS: ^_framebufferOk /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:402:18
      1    0.0%    0.0%  JS: ^_checkWrapper /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:257:17
      1    0.0%    0.0%  JS: ^Module._nodeModulePaths node:internal/modules/cjs/loader:794:37
      1    0.0%    0.0%  JS: ^<anonymous> file:///Users/darksystem/Projects/FlowJS/src/engine.js:284:17
      1    0.0%    0.0%  JS: *readBit /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:105:21
      1    0.0%    0.0%  JS: *listOnTimeout node:internal/timers:519:25
      1    0.0%    0.0%  JS: *getPressedKeys file:///Users/darksystem/Projects/FlowJS/src/renderer.js:55:17
      1    0.0%    0.0%  JS: *getPathFromURLPosix node:internal/url:1438:29
      1    0.0%    0.0%  JS: *freeMipMap /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:3189:23
      1    0.0%    0.0%  JS: *extend /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:21:23
      1    0.0%    0.0%  JS: *decodeBlock /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:266:25
      1    0.0%    0.0%  JS: *allocMipMap /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:3179:24
      1    0.0%    0.0%  JS: *_checkVertexAttribState /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:272:27
      1    0.0%    0.0%  JS: *Filter._unFilterType2 /Users/darksystem/Projects/FlowJS/node_modules/pngjs/lib/filter-parse.js:79:44
      1    0.0%    0.0%  Builtin: TypedArrayPrototypeSubArray
      1    0.0%    0.0%  Builtin: ToString
      1    0.0%    0.0%  Builtin: ToObject
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: StringIndexOf
      1    0.0%    0.0%  Builtin: StrictEqual
      1    0.0%    0.0%  Builtin: StoreIC_NoFeedback
      1    0.0%    0.0%  Builtin: ShiftLeft_Baseline
      1    0.0%    0.0%  Builtin: SetIteratorPrototypeNext
      1    0.0%    0.0%  Builtin: ResolvePromise
      1    0.0%    0.0%  Builtin: MapPrototypeHas
      1    0.0%    0.0%  Builtin: MapIteratorToList
      1    0.0%    0.0%  Builtin: LoadSuperIC
      1    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
      1    0.0%    0.0%  Builtin: LoadGlobalICInsideTypeof
      1    0.0%    0.0%  Builtin: LoadGlobalICBaseline
      1    0.0%    0.0%  Builtin: LessThan_Baseline
      1    0.0%    0.0%  Builtin: LessThanOrEqual_Baseline
      1    0.0%    0.0%  Builtin: KeyedStoreIC_Megamorphic
      1    0.0%    0.0%  Builtin: KeyedStoreICBaseline
      1    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      1    0.0%    0.0%  Builtin: HandleApiCall
      1    0.0%    0.0%  Builtin: GreaterThan_Baseline
      1    0.0%    0.0%  Builtin: FunctionPrototypeHasInstance
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
      1    0.0%    0.0%  Builtin: FulfillPromise
      1    0.0%    0.0%  Builtin: FastNewStrictArguments
      1    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      1    0.0%    0.0%  Builtin: DeleteProperty
      1    0.0%    0.0%  Builtin: DefineNamedOwnICBaseline
      1    0.0%    0.0%  Builtin: DefineNamedOwnIC
      1    0.0%    0.0%  Builtin: DefineKeyedOwnIC
      1    0.0%    0.0%  Builtin: CreateTypedArray
      1    0.0%    0.0%  Builtin: Construct
      1    0.0%    0.0%  Builtin: CallWithSpread
      1    0.0%    0.0%  Builtin: CallVarargs
      1    0.0%    0.0%  Builtin: BitwiseOr_Baseline
      1    0.0%    0.0%  Builtin: AsyncFunctionEnter
      1    0.0%    0.0%  Builtin: ArrayTimSort
      1    0.0%    0.0%  Builtin: ArrayReduce
      1    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      1    0.0%    0.0%  Builtin: ArrayPrototypeJoin
      1    0.0%    0.0%  Builtin: ArrayIndexOfSmiOrObject
      1    0.0%    0.0%  Builtin: ArrayFilter

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
   1082    5.6%    5.6%  JavaScript
      0    0.0%    0.0%  C++
    946    4.9%    4.9%  GC
     11    0.1%          Shared libraries
  18300   94.4%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  18300   94.4%  UNKNOWN
   3419   18.7%    Builtin: ArrayPrototypeFlat
   3419  100.0%      JS: ~processArr file:///Users/darksystem/Projects/FlowJS/src/utils.js:19:27
   3419  100.0%        JS: ~_getData file:///Users/darksystem/Projects/FlowJS/src/texture.js:24:11
   3201   93.6%          JS: ~draw file:///Users/darksystem/Projects/FlowJS/src/gfx.js:21:7
   3128   97.7%            JS: ~fillScreen file:///Users/darksystem/Projects/FlowJS/src/gfx.js:94:13
     73    2.3%            JS: ~render file:///Users/darksystem/Projects/FlowJS/src/sprite.js:91:9
    218    6.4%          JS: ~setLayerBackground file:///Users/darksystem/Projects/FlowJS/src/gfx.js:122:21
    218  100.0%            JS: ~onCreate file:///Users/darksystem/Projects/FlowJS/test.js:25:17
   1682    9.2%    JS: ^render file:///Users/darksystem/Projects/FlowJS/src/renderer.js:24:9
   1662   98.8%      JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
   1662  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
     20    1.2%      JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
     20  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
   1434    7.8%    JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
   1434  100.0%      Builtin: AsyncFunctionAwaitResolveClosure
   1319    7.2%    JS: *_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
   1319  100.0%      JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
   1319  100.0%        JS: ^processImmediate node:internal/timers:433:28
    967    5.3%    JS: ^render file:///Users/darksystem/Projects/FlowJS/src/GlRenderer.js:64:9
    967  100.0%      JS: ^render file:///Users/darksystem/Projects/FlowJS/src/renderer.js:24:9
    952   98.4%        JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    952  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
     15    1.6%        JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
     15  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
    953    5.2%    JS: ^texImage2D /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:3139:14
    947   99.4%      JS: ^setImage /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:3030:21
    947  100.0%        JS: ^setMipMap /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:3167:22
    947  100.0%          JS: ^reglTexture2D /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:3424:28
    947  100.0%            JS: ^render file:///Users/darksystem/Projects/FlowJS/src/GlRenderer.js:64:9
    815    4.5%    JS: ^createImageBitmap file:///Users/darksystem/Projects/FlowJS/src/utils.js:6:34
    567   69.6%      JS: *_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
    567  100.0%        JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    567  100.0%          JS: ^processImmediate node:internal/timers:433:28
    243   29.8%      JS: ^_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
    235   96.7%        JS: ^gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
    235  100.0%          JS: ^processImmediate node:internal/timers:433:28
      8    3.3%        JS: ~gameLoop file:///Users/darksystem/Projects/FlowJS/src/engine.js:63:22
      6   75.0%          JS: ^processImmediate node:internal/timers:433:28
      2   25.0%          JS: ~processImmediate node:internal/timers:433:28
    757    4.1%    JS: ^drawArrays /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:1819:14
    698   92.2%      JS: ^draw :69:16
    698  100.0%        JS: ^REGLCommand /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:10269:26
    698  100.0%          JS: ^render file:///Users/darksystem/Projects/FlowJS/src/GlRenderer.js:64:9
    698  100.0%            JS: ^render file:///Users/darksystem/Projects/FlowJS/src/renderer.js:24:9
     59    7.8%      JS: ~draw :69:16
     32   54.2%        JS: ~REGLCommand /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:10269:26
     32  100.0%          JS: ^render file:///Users/darksystem/Projects/FlowJS/src/GlRenderer.js:64:9
     32  100.0%            JS: ^render file:///Users/darksystem/Projects/FlowJS/src/renderer.js:24:9
     27   45.8%        JS: ^REGLCommand /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:10269:26
     27  100.0%          JS: ^render file:///Users/darksystem/Projects/FlowJS/src/GlRenderer.js:64:9
     27  100.0%            JS: ^render file:///Users/darksystem/Projects/FlowJS/src/renderer.js:24:9
    518    2.8%    JS: *listOnTimeout node:internal/timers:519:25
    314   60.6%      JS: *processTimers node:internal/timers:499:25
    204   39.4%      JS: ^processTimers node:internal/timers:499:25
    435    2.4%    JS: ^Canvas.getContext /Users/darksystem/Projects/FlowJS/node_modules/canvas/lib/canvas.js:23:40
